Manufacturer,Description,Model,Year,Colour
Harley Davidson,"This bike presents well. some surface rist on the spokes and a some typical surface marks on some alloy fork lowers is all I can pick on this beats. Books. Tuner and Keys are supplied. She sounds the bizz with her pipes and has a great lumpy tone.",XL1200C,2012,Black
Yamaha,"I am selling my Yamaha R6 with 6,500km . Is in remarkable condition. The bike runs and rides perfectly and is in fantastic shape cosmetically. Very well looked after. Has only been used to commute and the occasional weekend ride.",YZF-R6,2010,Black
Kawasaki,"Up for sale is my 2016 Kawasaki Ninja 300 ABS. Even though I've been riding for 10 years, I still love riding this bike. Of course its learner legal and also fitted with oggy nobs since on the road.",Ninja 300,2016,Red
Yamaha,"2014 Yamaha TTR 50E for sale as kids don’t ride anymore - good condition and reliable bike.",TT-R50E,2014,Blue
Triumph,"I have upgraded to a new T120, so now I have my T100 for sale. I purchased this Bonneville new in August 2016. This has always been a fun bike, never a commuter. Always serviced by Triumph, on time or before being due.",Bonneville 865,2016,Black
Piaggio,"Selling my 2008 piaggio fly 125. $700 ono. 39,500kms. Want it gone asap need space in my garage. Located in tarniet. No rwc No rego.",Fly 125,2008,Black
Honda,"The Firestorm has been my daily work commuter and never missed a beat, serviced and mechanically sound. Fitted with a nice set of aftermarket performance MRAE Exhausts, comes with  nearly 7 months rego.",VTR1000F,1998,Red
Kawasaki,"2017 Kawasaki KLX110L. Excellent condition (Like new). I am the second owner, the first owner only rode it twice. I have only had it for just under 6 months. I don’t know exactly how many hours i have put on it but i’d say 20-25 hours. This is a great little bike it has never let me down starts up straight away every time.",KLX110L,2017,Green
Kawasaki,"Excellent condition. A bike that would suit a learner or cheap commuter. Regrettable sale.",Z250SL,2015,Red
KTM,"Awesome little LAMS machine fitted out with some super cool IXIL dual slip-ons! Just freshly serviced and RWC, great balance of REGO until AUG 2020 included in our ride away price! ",Duke 390,2014,Orange
Honda,"GOOD CONDITION. LOW KMS. JUST BEEN SERVICED & A NEW FRONT TYRE FITTED. COMES WITH LOCKABLE PANNIERS & A TOP BOX & LAMBS WOOL SEAT COVERS. PRICE IS RIDE AWAY. WE ARE LOCATED IN WARWICK QLD.",VT750C,2006,Black
Yamaha,"60th Anniversary version. Very regretful sale. Stupidly bought shortly after having a baby, thinking I would have time to start riding again. I don't.  Second owner with about 30 hours on clock. Well looked after. Top end unnecessarily done by previous owner at 20 hours. Oil change and air filter done after every ride (also have schedule of other maintenance performed by me).",YZ250F,2016,Yellow
Yamaha,"Good little bike and runs well, but not being used as the kids are too big for it now.",PeeWee 80,2004,Blue
Honda,"2018 honda cb125e previously used for commuting. No rwc No rego. Shouldn't need anything for rwc, everything still in excellent condition.",CB125E,2018,Blue
KTM,"If your looking for a late model MX bike that has been treated right and has electric start this bike is for you! In pretty stock form and ready for a new owner!",SX-F 450,2017,Orange
KTM,"Great bike, low km’s, low hours. Has not been ridden hard at all. Great for trail riding, has bark busters and brand new back tyre and battery. Will be sold with some spares. Bike has just been serviced. The only reason for selling the bike is moved on to a 450. Is a fantastic buy, price is a little negotiable.",EXC-F 250,2007,Orange
Suzuki,"I have Learners approved Suzuki Inazuma 250 red colour, twin parallel engine with water cooling, bike has twin exhausts as well with supercool purr. Motorcycle has been properly serviced and next service is due after 20000kms.",Inazuma 250,2012,Red
KTM,"KTM Duke 390 2015 in great condition, just been serviced. runs like new only selling as I have upgraded to a much larger bike.",Duke 390,2015,Orange
KTM,"These are one Wicked Cool bike! The ultimate in performance with unbelievable handling and also super comfortable to do the miles! This bike has been well kept and is fitted out with Leo Vince Slip-ons, Bashplate, Crash bars, and factory clip-on soft panniers that are super easy to slip on and off. Original manual and spare keys included.",990SMT,2013,Black
Triumph,"A great bike but it is time to say goodbye to her. Priced to sell, regularly serviced, price has some wiggle room.",Sprint ST 1050,2007,Red
Kawasaki,"KLX140L Big wheel only. 19 hours by my teen age daughter. The bike has a full pro circuit Exhaust and Green Rental bars with some added RHK bling. Great looking and like new.",KLX140L,2018,White
Honda,"Honda's V-Twin 250 Naked. The VTR 250 Rides and Handles Like a Dream. This Bike is in Immaculate Condition. With Super Low Kilometers. This Bike is a Bargain And Ready to be Taken Home",VTR250,2006,Red
Suzuki,"Suzuki Boulevard M109R VRZ1800 as new condition only travelled 900 km,and would suit new bike buyer. This beautiful but very powerful cruiser is in immaculate new bike condition. First log book service has been completed and the bike is ready to ride. The Suzuki M109R is one of the most powerful cruisers on the market.",Boulevard M109R,2016,Black
Triumph,"This bike is in extremely good condition for its age and kilometers, being basically unmarked except for a few stone chips. Always garaged and meticulously serviced.",Trophy SE,2013,Silver
Honda,"Very good condition Learner motorcycle. Perfect performance, engine filter and engine oil changed 100 kms ago. Only have 11K kms on it. 2 keys with manual book. The bike is basically ready on road.",CBR500R,2013,Red
Suzuki,"This bike is fully kitted out with quick shift, plus up graded brakes to Brembos. Tinted screen. Race pipe and much more. Come and test ride today.",GSXR1000,2009,White
Honda,"Honda CRF 2008. It’s been a great bike very reliable and regularly serviced. Comes with new plastics and a Honda racing sticker kit.",CRF50F,2008,Red
Vespa,"I bought this brand new in December 2017. Has been garaged it’s whole life. Only traveled 649 klms. Optioned with genuine top box and wind screen.If you are after a fabulous gts with ABS, this is the one!! AS BRAND NEW.",GTS300 SS,2017,Silver
Honda,"Selling a Honda VFR1200F 11 month 2015. Has a $1200 after market Carbon fibre exhaust system that would put the best ducati to shame. Has safety certificate and is ready to register.",VRF1200F,2016,Black
Yamaha,"As new XSR700 would suit new bike buyer. Still under warranty and less than 1 year old from purchase. Open to offers but nothing stupid.",XSR700,2017,Green
BMW,"2012 R 1200 GSA Triple Black. Due to heart surgery in June 2019, I have found she is too much for me now and want to move to something smaller/lower/lighter. I'm open to considering a swap with an RnineT Scrambler or RnineT Urban GS  or XJR1300 of a similar value.",GS1200 Adventure,2012,Black
